State,2018,2019,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama  ,497,526,489, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
Alaska ,46,55,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
Arizona  ,475,497,459, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,
Arkansas ,262,306,318, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
California ,2278,2171,2196, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
Colorado ,338,350,327, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
Connecticut,173,133,149, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,
Delaware ,60,59,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
District of Columbia ,74,86,70, , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,
Florida ,1515,1538,1458, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
Georgia ,976,976,1007, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,
Hawaii ,120,85,103, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
Idaho ,113,112,117, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Illinois,890,829,754, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Indiana,498,489,476, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
Iowa ,150,196,166, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Kansas,204,196,168, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
Kentucky ,311,306,327, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
Louisiana ,325,290,322, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
Maine,71,65,74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Maryland ,497,462,466, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
Massachusetts,316,298,278, , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,
Michigan  ,655,652,612, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
Minnesota ,394,359,343, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,
Mississippi ,391,348,380, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,
Missouri ,400,402,431, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,
Montana,46,54,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,
Nebraska ,105,125,104, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
Nevada  ,252,230,260, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,
New Hampshire ,55,55,54, , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,
New Jersey ,701,694,658, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,
New Mexico,84,69,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,1463,1331,1338, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina ,802,784,680, , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,
North Dakota ,60,66,61, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,
Ohio ,893,850,746, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Oklahoma  ,286,282,302, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,
Oregon,200,189,205, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
Pennsylvania ,823,802,668, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,
Rhode Island ,59,49,63, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,
South Carolina,342,345,310, , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,
South Dakota,51,69,67, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,
Tennessee ,586,498,520, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,
Texas ,1745,1504,1492, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Utah ,317,246,235, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Vermont ,16,20,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,
Virginia,573,485,466, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,
Washington ,488,484,448, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,
West Virginia ,113,79,80, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,
Wisconsin  ,330,342,317, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,
Wyoming ,40,40,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,
