Country,PopCode,Code
Australia,AUS,AUS
Austria,AUT,AUT
Belarus,BLR,BLR
Belgium,BEL,BEL
Bulgaria,BGR,BGR
Canada,CAN,CAN
Chile,CHL,CHL
Croatia,HRV,HRV
Czechia,CZE,CZE
Denmark,DNK,DNK
England and Wales,GBRTENW,GRB-ENW
Estonia,EST,EST
Finland,FIN,FIN
France,FRATNP,FRA
Germany,DEUTNP,DEU
Greece,GRC,GRC
Hong Kong,HKG,HKG
Hungary,HUN,HUN
Iceland,ISL,ISL
Ireland,IRL,IRL
Israel,ISR,ISR
Italy,ITA,ITA
Japan,JPN,JPN
Latvia,LVA,LVA
Lithuania,LTU,LTU
Luxembourg,LUX,LUX
Netherlands,NLD,NLD
New Zealand,NZL_NP,NZL
Northern Ireland,GBR_NIR,GRB-NIR
Norway,NOR,NOR
Poland,POL,POL
Portugal,PRT,PRT
South Korea,KOR,KOR
Russia,RUS,RUS
Scotland,GBR_SCO,GRB-SCO
Slovakia,SVK,SVK
Slovenia,SVN,SVN
Spain,ESP,ESP
Sweden,SWE,SWE
Switzerland,CHE,CHE
Taiwan,TWN,TWN
Ukraine,UKR,UKR
United Kingdom,GBR_NP,GBR
USA,USA,USA
